seed,pop,cpp_hz,py_hz
9,dn,16.0,16.0
9,dn_L,31.166666666666668,31.166666666666668
9,dn_R,0.8333333333333334,0.8333333333333334
9,latency_ms,370.0,370.0
9,exact_spike_total,2332.0,2332.0
10,vpn,3.614391143911439,3.614391143911439
10,inter,0.9045801526717557,0.9045801526717557
10,dn,16.083333333333332,16.083333333333332
10,dn_L,31.5,31.5
10,dn_R,0.6666666666666666,0.6666666666666666
10,latency_ms,100.0,100.0
10,exact_spike_total,2389.0,2389.0
11,vpn,3.522140221402214,3.522140221402214
11,inter,0.8893129770992366,0.8893129770992366
11,dn,15.666666666666666,15.666666666666666
11,dn_L,31.166666666666668,31.166666666666668
11,dn_R,0.16666666666666666,0.16666666666666666
11,latency_ms,370.0,370.0
11,exact_spike_total,2330.0,2330.0
12,vpn,3.621771217712177,3.621771217712177
12,inter,0.8931297709923665,0.8931297709923665
12,dn,16.0,16.0
12,dn_L,32.0,32.0
12,dn_R,0.0,0.0
12,latency_ms,360.0,360.0
12,exact_spike_total,2389.0,2389.0
13,vpn,3.6088560885608856,3.6088560885608856
13,inter,1.0114503816793894,1.0114503816793894
13,dn,16.583333333333332,16.583333333333332
13,dn_L,32.833333333333336,32.833333333333336
13,dn_R,0.3333333333333333,0.3333333333333333
13,latency_ms,360.0,360.0
13,exact_spike_total,2420.0,2420.0
14,vpn,3.496309963099631,3.496309963099631
14,inter,0.9351145038167938,0.9351145038167938
14,dn,15.166666666666666,15.166666666666666
14,dn_L,30.166666666666668,30.166666666666668
14,dn_R,0.16666666666666666,0.16666666666666666
14,latency_ms,370.0,370.0
14,exact_spike_total,2322.0,2322.0
15,vpn,3.699261992619926,3.699261992619926
15,inter,0.9656488549618321,0.9656488549618321
15,dn,16.583333333333332,16.583333333333332
15,dn_L,32.833333333333336,32.833333333333336
15,dn_R,0.3333333333333333,0.3333333333333333
15,latency_ms,380.0,380.0
15,exact_spike_total,2457.0,2457.0
16,vpn,3.555350553505535,3.555350553505535
16,inter,0.916030534351145,0.916030534351145
16,dn,16.5,16.5
16,dn_L,32.0,32.0
16,dn_R,1.0,1.0
16,latency_ms,170.0,170.0
16,exact_spike_total,2365.0,2365.0
17,vpn,3.5129151291512914,3.5129151291512914
17,inter,0.9427480916030534,0.9427480916030534
17,dn,16.25,16.25
17,dn_L,32.0,32.0
17,dn_R,0.5,0.5
17,latency_ms,340.0,340.0
17,exact_spike_total,2346.0,2346.0
18,vpn,3.6365313653136533,3.6365313653136533
18,inter,0.9541984732824428,0.9541984732824428
18,dn,16.583333333333332,16.583333333333332
18,dn_L,32.333333333333336,32.333333333333336
18,dn_R,0.8333333333333334,0.8333333333333334
18,latency_ms,90.0,90.0
18,exact_spike_total,2420.0,2420.0
19,vpn,3.6088560885608856,3.6088560885608856
19,inter,0.9847328244274809,0.9847328244274809
19,dn,16.25,16.25
19,dn_L,32.333333333333336,32.333333333333336
19,dn_R,0.16666666666666666,0.16666666666666666
19,latency_ms,370.0,370.0
19,exact_spike_total,2409.0,2409.0
20,vpn,3.4483394833948338,3.4483394833948338
20,inter,0.916030534351145,0.916030534351145
20,dn,15.416666666666666,15.416666666666666
20,dn_L,30.833333333333332,30.833333333333332
20,dn_R,0.0,0.0
20,latency_ms,360.0,360.0
20,exact_spike_total,2294.0,2294.0
