local_index,bodyId,type,instance,side,role,nt,sign,sector,input_channel_kind,input_gain,superclass
216,521693,PVLP122,PVLP122_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
217,12184,PVLP122,PVLP122_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
218,12215,PVLP122,PVLP122_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
219,523921,PVLP122,PVLP122_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
220,16482,PVLP123,PVLP123_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
221,18907,PVLP123,PVLP123_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
222,514481,PVLP123,PVLP123_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
223,15414,PVLP123,PVLP123_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
224,16445,PVLP123,PVLP123_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
225,17616,PVLP123,PVLP123_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
226,524753,PVLP124,PVLP124_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
227,24411,PVLP124,PVLP124_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
228,101221,PVLP128,PVLP128_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
229,123513,PVLP128,PVLP128_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
230,28698,PVLP128,PVLP128_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
231,29887,PVLP128,PVLP128_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
232,10145,PVLP130,PVLP130_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
233,13122,PVLP130,PVLP130_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
234,10173,PVLP151,PVLP151_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
235,12275,PVLP151,PVLP151_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
236,11677,PVLP151,PVLP151_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
237,11826,PVLP151,PVLP151_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
238,30194,SAD013,SAD013_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
239,11397,SAD013,SAD013_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
240,550384,SAD014,SAD014_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
241,522711,SAD023,SAD023_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
242,524162,SAD023,SAD023_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
243,556817,SAD023,SAD023_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
244,29859,SAD023,SAD023_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
245,31784,SAD023,SAD023_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
246,36717,SAD023,SAD023_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
247,513904,SAD049,SAD049_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
248,33474,SAD049,SAD049_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
249,12237,SAD055,SAD055_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
250,12242,SAD055,SAD055_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
251,15791,SAD064,SAD064_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
252,17375,SAD064,SAD064_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
253,25438,SAD064,SAD064_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
254,13114,SAD064,SAD064_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
255,15665,SAD064,SAD064_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
256,527699,SAD064,SAD064_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
