arm,seed,dir_deg,speed,n_dn,n_base,n_L,n_R,li,d_away,disp,dphi,ta,v_peak,esc_peak,speed_name,model_id,protocol
A,2,135,1.2,64.0,0.0,62.0,2.0,0.9375,0.2168127252718441,0.3050689810193321,0.11219543075839189,0.0,1.005299552389522,0.8149662613868713,medium,tdf-escape-v0.1-p2,v1
A,3,135,1.2,60.0,1.3333333333333333,60.0,0.0,1.0,0.337090662803143,0.37420773573307897,0.14360253186627503,0.0,1.0395832835261176,0.6793244486896168,medium,tdf-escape-v0.1-p2,v1
A,4,135,1.2,65.0,0.0,61.0,4.0,0.8769230769230769,0.11884653027215089,0.2762786224197742,0.49012231016235086,0.0,1.113590851788551,0.8454507812857628,medium,tdf-escape-v0.1-p2,v1
A,5,135,1.2,62.0,0.0,59.0,3.0,0.9032258064516129,0.20719922568385124,0.2912194002154295,-0.19832822262971117,1.0,1.1136490671786232,0.9000969901680946,medium,tdf-escape-v0.1-p2,v1
A,6,135,1.2,64.0,0.0,61.0,3.0,0.90625,0.19256958828405596,0.30674031330457663,-0.12180412394281737,1.0,1.1253697678276542,0.8992717675864697,medium,tdf-escape-v0.1-p2,v1
A,1,180,1.2,74.0,0.0,47.0,27.0,,0.03937529040794706,0.16544772287743453,0.5262672421508503,,0.9229900901197521,1.4354347586631775,medium,tdf-escape-v0.1-p2,v1
A,2,180,1.2,69.0,0.0,36.0,33.0,,-0.04669778197130801,0.12164212943020712,0.11219543075839189,,0.7816580422682106,1.4511136412620544,medium,tdf-escape-v0.1-p2,v1
A,3,180,1.2,56.0,1.3333333333333333,55.0,1.0,,0.11002709895443948,0.26959672403121077,0.14360253186627503,,1.0114818453439773,0.7020685449242592,medium,tdf-escape-v0.1-p2,v1
A,4,180,1.2,67.0,0.0,34.0,33.0,,-0.04867706601042096,0.048706276636942644,0.49012231016235086,,0.7163734790503921,1.374724805355072,medium,tdf-escape-v0.1-p2,v1
A,5,180,1.2,68.0,0.0,35.0,33.0,,-0.05508278140306087,0.1176559055709778,-0.19832822262971117,,0.7245654469958887,1.3329347968101501,medium,tdf-escape-v0.1-p2,v1
A,6,180,1.2,75.0,0.0,40.0,35.0,,-0.09097756135630379,0.14897574145898151,-0.12180412394281737,,0.833926220282013,1.5252153873443604,medium,tdf-escape-v0.1-p2,v1
A,1,225,1.2,69.0,0.0,32.0,37.0,0.07246376811594203,-0.05952769969654615,0.06317343999523015,0.5262672421508503,1.0,0.7649238704916366,1.402928650379181,medium,tdf-escape-v0.1-p2,v1
A,2,225,1.2,70.0,0.0,7.0,63.0,0.8,0.09509307665179467,0.2610876063408494,0.11219543075839189,1.0,1.1598180226106605,1.085758998990059,medium,tdf-escape-v0.1-p2,v1
A,3,225,1.2,75.0,1.3333333333333333,39.0,36.0,-0.04,-0.12660676708613844,0.1479861567960611,0.14360253186627503,1.0,0.7833124145278427,1.4558222889900208,medium,tdf-escape-v0.1-p2,v1
A,4,225,1.2,63.0,0.0,4.0,59.0,0.873015873015873,0.18636258908841297,0.2806156145095036,0.49012231016235086,1.0,1.0952053054694322,0.8876675963401794,medium,tdf-escape-v0.1-p2,v1
A,5,225,1.2,68.0,0.0,6.0,62.0,0.8235294117647058,0.08621761730079192,0.24235940435524886,-0.19832822262971117,0.0,1.164029910004667,1.0447278022766113,medium,tdf-escape-v0.1-p2,v1
A,6,225,1.2,68.0,0.0,4.0,64.0,0.8823529411764706,0.1170878158695803,0.2585302561569476,-0.12180412394281737,0.0,1.1721314628434119,1.0063182264566422,medium,tdf-escape-v0.1-p2,v1
A,1,270,1.2,74.0,0.0,6.0,68.0,0.8378378378378378,0.2007467361920128,0.30112983520982306,0.5262672421508503,1.0,1.1497969458791697,0.9177567884325981,medium,tdf-escape-v0.1-p2,v1
A,2,270,1.2,70.0,0.0,3.0,67.0,0.9142857142857143,0.325661644990971,0.36530083045510015,0.11219543075839189,1.0,1.0736568312338313,0.8210144136101007,medium,tdf-escape-v0.1-p2,v1
A,3,270,1.2,65.0,1.3333333333333333,3.0,62.0,0.9076923076923077,0.17530587109803222,0.28486515364326026,0.14360253186627503,1.0,1.1534644358965338,0.8668159395456314,medium,tdf-escape-v0.1-p2,v1
A,4,270,1.2,60.0,0.0,0.0,60.0,1.0,0.37559207451223803,0.38409652589960486,0.49012231016235086,1.0,1.1768885490766547,0.9892534390091896,medium,tdf-escape-v0.1-p2,v1
A,5,270,1.2,73.0,0.0,3.0,70.0,0.9178082191780822,0.31302220505055317,0.3504969184326277,-0.19832822262971117,0.0,1.1508467192902965,1.046104446053505,medium,tdf-escape-v0.1-p2,v1
A,6,270,1.2,70.0,0.0,2.0,68.0,0.9428571428571428,0.3679419847012629,0.388263233439311,-0.12180412394281737,0.0,1.1481675602512529,0.9318042993545532,medium,tdf-escape-v0.1-p2,v1
A,1,315,1.2,65.0,0.0,0.0,65.0,1.0,0.38605680259268527,0.3868943810522084,0.5262672421508503,1.0,1.070439750964076,0.9421434998512268,medium,tdf-escape-v0.1-p2,v1
A,2,315,1.2,70.0,0.0,5.0,65.0,0.8571428571428571,0.2873269538614355,0.31107776908842993,0.11219543075839189,1.0,0.8759569365257903,0.7299347668886185,medium,tdf-escape-v0.1-p2,v1
A,3,315,1.2,69.0,1.3333333333333333,2.0,67.0,0.9420289855072463,0.41051909776276746,0.41377008243352986,0.14360253186627503,1.0,1.1387795020233613,0.8312438130378723,medium,tdf-escape-v0.1-p2,v1
A,4,315,1.2,81.0,0.0,14.0,67.0,0.654320987654321,0.19977395910273033,0.24878787870891914,0.49012231016235086,1.0,0.808784552590571,0.9551006853580475,medium,tdf-escape-v0.1-p2,v1
A,5,315,1.2,71.0,0.0,6.0,65.0,0.8309859154929577,0.2888618959952481,0.31104249991773786,-0.19832822262971117,0.0,0.8645781024351689,0.7529109120368958,medium,tdf-escape-v0.1-p2,v1
A,6,315,1.2,69.0,0.0,5.0,64.0,0.855072463768116,0.2556130379963919,0.2963141651001336,-0.12180412394281737,0.0,0.8617655485472248,0.6914650052785873,medium,tdf-escape-v0.1-p2,v1
